prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
95.0,0,650000.0,3.0,164.0,1,0,0,1,101.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,775000.0,4.0,238.0,1,0,0,1,82.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,330000.0,3.0,104.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,174000.0,0.0,40.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
95.0,0,379000.0,2.0,97.0,1,0,0,1,17.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,464500.0,2.0,137.0,1,0,0,1,19.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,499000.0,3.0,124.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,315000.0,2.0,81.0,1,1,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,541000.0,2.0,138.0,1,0,0,1,12.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,490000.0,4.0,177.0,1,0,0,1,3.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,350000.0,2.0,100.0,1,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,450000.0,3.0,150.0,1,0,0,1,14.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,170000.0,1.0,59.0,1,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
